surname,name,patronymic,position,faculty,department,spin,spin link,orcid,orcid link,scopus author id,scopus link,researcher id,researcher link
Яковлев,Алексей,Борисович,заведующий кафедрой,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",8194-5800,http://elibrary.ru/author_profile.asp?spin=8194-5800,0000-0002-1987-2138,http://orcid.org/0000-0002-1987-2138,56503089200,http://www.scopus.com/authid/detail.uri?authorId=56503089200,E-7451-2014,http://www.researcherid.com/rid/E-7451-2014
Аверьянов,Геннадий,Сергеевич,профессор,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
Блинов,Виктор,Николаевич,профессор,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0000-0002-9309-4610,http://orcid.org/0000-0002-9309-4610,56503115200,http://www.scopus.com/authid/detail.uri?authorId=56503115200,0,0
Бражникова,Ксения,Алексеевна,научный сотрудник,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
Вавилов,Игорь,Сергеевич,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",3468-6744,http://elibrary.ru/author_profile.asp?spin=3468-6744,0000-0002-2409-1774,http://orcid.org/0000-0002-2409-1774,56610211900,http://www.scopus.com/authid/detail.uri?authorId=56610211900,0,0
Власов,Юрий,Александрович,заведующий лабораторией,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
Давыдович,Денис,Юрьевич,младший научный сотрудник,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",8904-4340,http://elibrary.ru/author_profile.asp?spin=8904-4340,0000-0001-8778-1337,http://orcid.org/0000-0001-8778-1337,57193768965,http://www.scopus.com/authid/detail.uri?authorId=57193768965,L-3363-2016,http://www.researcherid.com/rid/L-3363-2016
ДЗЫНА,Михаил,Валентинович,ассистент,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
Дронь,Михаил,Михайлович,старший преподаватель,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",4484-6528,http://elibrary.ru/author_profile.asp?spin=4484-6528,0000-0002-6659-8039,http://orcid.org/0000-0002-6659-8039,57193434016,http://www.scopus.com/authid/detail.uri?authorId=57193434016,E-9187-2014,http://www.researcherid.com/rid/E-9187-2014
Жариков,Константин,Игоревич,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",9469-0544,http://elibrary.ru/author_profile.asp?spin=9469-0544,0000-0002-4966-1788,http://orcid.org/0000-0002-4966-1788,57192074889,http://www.scopus.com/authid/detail.uri?authorId=57192074889,E-9087-2014,http://www.researcherid.com/rid/E-9087-2014
Иордан,Юлия,Вячеславовна,младший научный сотрудник,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",7175-4795,http://elibrary.ru/author_profile.asp?spin=7175-4795,0000-0002-6389-4107,http://orcid.org/0000-0002-6389-4107,57193770306,http://www.scopus.com/authid/detail.uri?authorId=57193770306,0,0
Калашников,Борис,Александрович,профессор,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",7574-1323,http://elibrary.ru/author_profile.asp?spin=7574-1323,0000-0002-9946-3480,http://orcid.org/0000-0002-9946-3480,6701318766,http://www.scopus.com/authid/detail.uri?authorId=6701318766,M-9643-2014,http://www.researcherid.com/rid/M-9643-2014
Кармышаков,Руслан,Альбертович,ассистент,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
Косицын,Валерий,Владимирович,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
Кривенко,Лариса,Юрьевна,инженер 1 категории,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
Куденцов,Владимир,Юрьевич,профессор,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",3688-4590,http://elibrary.ru/author_profile.asp?spin=3688-4590,0000-0002-4521-2379,http://orcid.org/0000-0002-4521-2379,55318654800,http://www.scopus.com/authid/detail.uri?authorId=55318654800,E-6640-2014,http://www.researcherid.com/rid/E-6640-2014
Кузнецов,Виктор,Иванович,профессор,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
Кузьменко,Ирина,Анатольевна,старший преподаватель,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",9128-3421,http://elibrary.ru/author_profile.asp?spin=9128-3421,0,0,0,0,0,0
Лукьянчик,Антон,Игоревич,старший преподаватель,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",2378-9723,http://elibrary.ru/author_profile.asp?spin=2378-9723,0000-0002-3309-4125,http://orcid.org/0000-0002-3309-4125,57189506536,http://www.scopus.com/authid/detail.uri?authorId=57189506536,O-8722-2016,http://www.researcherid.com/rid/O-8722-2016
Макаров,Владимир,Вячеславович,декан,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",9846-7090,http://elibrary.ru/author_profile.asp?spin=9846-7090,0000-0002-4057-1604,http://orcid.org/0000-0002-4057-1604,57193513945,http://www.scopus.com/authid/detail.uri?authorId=57193513945,R-6939-2018,http://www.researcherid.com/rid/R-6939-2018
Мищенко,Владимир,Иванович,старший преподаватель,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
Новосельцев,Дмитрий,Александрович,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
Онищук,Сергей,Юрьевич,младший научный сотрудник,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",6122-7947,http://elibrary.ru/author_profile.asp?spin=6122-7947,0000-0002-9641-5459,http://orcid.org/0000-0002-9641-5459,57211128570,http://www.scopus.com/authid/detail.uri?authorId=57211128570,D-9183-2019,http://www.researcherid.com/rid/D-9183-2019
Прусова,Ольга,Леонидовна,старший преподаватель,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
Решетникова,Алёна,Игоревна,ассистент,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
СТЕПЕНЬ,Павел,Валерьевич,ассистент,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
Трушляков,Валерий,Иванович,профессор,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
Урбанский,Владислав,Александрович,младший научный сотрудник,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",2487-9142,http://elibrary.ru/author_profile.asp?spin=2487-9142,0000-0002-8837-7050,http://orcid.org/0000-0002-8837-7050,57214753501,http://www.scopus.com/authid/detail.uri?authorId=57214753501,0,0
Хисамов,Ринат,Мансурович,ассистент,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
Чусовитин,Александр,Алексеевич,ассистент,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
Шандер,Александра,Юрьевна,старший преподаватель,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",9020-9010,http://elibrary.ru/author_profile.asp?spin=9020-9010,0,0,0,0,0,0
Шаханина,Ирина,Владимировна,инженер 1 категории,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",0,0,0,0,0,0,0,0
Ячменев,Павел,Сергеевич,старший преподаватель,"Факультет транспорта, нефти и газа","Кафедра ""Авиа- и ракетостроение""",4744-0940,http://elibrary.ru/author_profile.asp?spin=4744-0940,0000-0003-3483-4321,http://orcid.org/0000-0003-3483-4321,57193405041,http://www.scopus.com/authid/detail.uri?authorId=57193405041,P-5381-2016,http://www.researcherid.com/rid/P-5381-2016
Гебель,Елена,Сергеевна,доцент,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",1256-0879,http://elibrary.ru/author_profile.asp?spin=1256-0879,0000-0003-1811-8755,http://orcid.org/0000-0003-1811-8755,55574609100,http://www.scopus.com/authid/detail.uri?authorId=55574609100,O-4211-2014,http://www.researcherid.com/rid/O-4211-2014
Хомченко,Василий,Герасимович,профессор,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",8385-2139,http://elibrary.ru/author_profile.asp?spin=8385-2139,0000-0003-3151-7937,http://orcid.org/0000-0003-3151-7937,6603880234,http://www.scopus.com/authid/detail.uri?authorId=6603880234,P-8539-2015,http://www.researcherid.com/rid/P-8539-2015
Пешко,Михаил,Сергеевич,доцент,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",0,0,0000-0003-0121-4388,http://orcid.org/0000-0003-0121-4388,57200417863,http://www.scopus.com/authid/detail.uri?authorId=57200417863,N-8690-2016,http://www.researcherid.com/rid/N-8690-2016
Ибатуллин,Альберт,Амирович,доцент,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",1740-1172,http://elibrary.ru/author_profile.asp?spin=1740-1172,0000-0002-8910-6412,http://orcid.org/0000-0002-8910-6412,0,0,0,0
Пастухова,Елена,Ивановна,доцент,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",0,0,0,0,0,0,0,0
Гоненко,Татьяна,Владимировна,доцент,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",7291-5494,http://elibrary.ru/author_profile.asp?spin=7291-5494,0000-0003-0661-6386,http://orcid.org/0000-0003-0661-6386,56503869300,http://www.scopus.com/authid/detail.uri?authorId=56503869300,0,0
Фарунцев,Сергей,Дмитриевич,доцент,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",0,0,0,0,0,0,0,0
Аверченко,Артем,Павлович,старший преподаватель,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",5888-5379,http://elibrary.ru/author_profile.asp?spin=5888-5379,0000-0003-3915-8430,http://orcid.org/0000-0003-3915-8430,55964397600,http://www.scopus.com/authid/detail.uri?authorId=55964397600,0,0
Гудинов,Владимир,Николаевич,старший преподаватель,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",0,0,0,0,0,0,0,0
Клевакин,Владимир,Викторович,старший преподаватель,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",9890-8698,http://elibrary.ru/author_profile.asp?spin=9890-8698,0,0,0,0,0,0
Тоцкая,Ирина,Валерьевна,старший преподаватель,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",0,0,0,0,0,0,0,0
Трапезникова,Ольга,Валерьевна,старший преподаватель,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",5648-6365,http://elibrary.ru/author_profile.asp?spin=5648-6365,0000-0001-6919-397X,http://orcid.org/0000-0001-6919-397X,57189889048,http://www.scopus.com/authid/detail.uri?authorId=57189889048,O-7611-2015,http://www.researcherid.com/rid/O-7611-2015
Чигринова,Екатерина,Александровна,старший преподаватель,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",8266-8770,http://elibrary.ru/author_profile.asp?spin=8266-8770,0000-0001-6913-9324,http://orcid.org/0000-0001-6913-9324,0,0,W-1992-2017,http://www.researcherid.com/rid/W-1992-2017
Корнейчук,Андрей,Павлович,инженер,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",0,0,0,0,0,0,0,0
Толеубаева,Гульбагда,Игембаевна,заведующий лабораториями,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",0,0,0,0,0,0,0,0
Вайчулине,Ольга,Николаевна,инженер 2 категории,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",0,0,0,0,0,0,0,0
Базарбаев,Сабит,Сансызбаевич,ассистент,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",0,0,0,0,0,0,0,0
Денисова,Людмила,Альбертовна,профессор,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",4926-3449,http://elibrary.ru/author_profile.asp?spin=4926-3449,0000-0001-7197-5460,http://orcid.org/0000-0001-7197-5460,41460943300,http://www.scopus.com/authid/detail.uri?authorId=41460943300,P-7286-2016,http://www.researcherid.com/rid/P-7286-2016
КИПРОВ,Роман,Русланович,инженер,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",0,0,0,0,0,0,0,0
Клыпин,Дмитрий,Николаевич,старший научный сотрудник,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",0,0,0,0,0,0,0,0
Котелевский,Юрий,Петрович,доцент,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",0,0,0,0,0,0,0,0
Маркова,Марина,Петровна,старший преподаватель,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",0,0,0,0,0,0,0,0
Микряков,Геннадий,Сергеевич,инженер,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",0,0,0,0,0,0,0,0
Милюшенко,Сергей,Анатольевич,доцент,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",0,0,0,0,0,0,0,0
РУБЛЕВА,Екатерина,Сергеевна,ассистент,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",0,0,0,0,0,0,0,0
Хакимов,Рустам,Анварович,старший преподаватель,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",9460-1292,http://elibrary.ru/author_profile.asp?spin=9460-1292,0000-0001-5976-3203,http://orcid.org/0000-0001-5976-3203,0,0,0,0
Чащин,Евгений,Александрович,инженер,Факультет информационных технологий и компьютерных систем,"Кафедра ""Автоматизация и робототехника""",3338-2235,http://elibrary.ru/author_profile.asp?spin=3338-2235,0,0,0,0,0,0
Никонов,Александр,Васильевич,заведующий кафедрой,Факультет информационных технологий и компьютерных систем,,9722-8373,http://elibrary.ru/author_profile.asp?spin=9722-8373,0000-0002-9079-7038,http://orcid.org/0000-0002-9079-7038,57207967538,http://www.scopus.com/authid/detail.uri?authorId=57207967538,B-3078-2016,http://www.researcherid.com/rid/B-3078-2016
Денисова,Людмила,Альбертовна,профессор,Факультет информационных технологий и компьютерных систем,,4926-3449,http://elibrary.ru/author_profile.asp?spin=4926-3449,0000-0001-7197-5460,http://orcid.org/0000-0001-7197-5460,41460943300,http://www.scopus.com/authid/detail.uri?authorId=41460943300,P-7286-2016,http://www.researcherid.com/rid/P-7286-2016
Чуканов,Сергей,Николаевич,профессор,Факультет информационных технологий и компьютерных систем,,1439-6565,http://elibrary.ru/author_profile.asp?spin=1439-6565,0000-0002-8106-9813,http://orcid.org/0000-0002-8106-9813,24366144600,http://www.scopus.com/authid/detail.uri?authorId=24366144600,J-2811-2018,http://www.researcherid.com/rid/J-2811-2018
Цыганенко,Валерий,Николаевич,доцент,Факультет информационных технологий и компьютерных систем,,8109-9856,http://elibrary.ru/author_profile.asp?spin=8109-9856,0,0,0,0,0,0
Малков,Олег,Брониславович,доцент,Факультет информационных технологий и компьютерных систем,,0,0,0,0,0,0,0,0
Белик,Алевтина,Георгиевна,доцент,Факультет информационных технологий и компьютерных систем,,2678-9531,http://elibrary.ru/author_profile.asp?spin=2678-9531,0,0,0,0,0,0
Убалехт,Иван,Павлович,старший преподаватель,Факультет информационных технологий и компьютерных систем,,0,0,0,0,0,0,0,0
Богатов,Роман,Николаевич,старший преподаватель,Факультет информационных технологий и компьютерных систем,,0,0,0,0,0,0,0,0
Маркова,Марина,Петровна,старший преподаватель,Факультет информационных технологий и компьютерных систем,,0,0,0,0,0,0,0,0
Анатольев,Александр,Геннадьевич,заведующий лабораторией,Факультет информационных технологий и компьютерных систем,,0,0,0,0,0,0,0,0
Лагунова,Юлия,Григорьевна,инженер 1 категории,Факультет информационных технологий и компьютерных систем,,0,0,0,0,0,0,0,0
Бородина,Оксана,Георгиевна,учебный мастер 1 категории,Факультет информационных технологий и компьютерных систем,,0,0,0,0,0,0,0,0
Зубарев,Александр,Александрович,доцент,Факультет информационных технологий и компьютерных систем,,0,0,0,0,0,0,0,0
КАБАНОВ,Артемий,Андреевич,старший преподаватель,Факультет информационных технологий и компьютерных систем,,9928-7776,http://elibrary.ru/author_profile.asp?spin=9928-7776,0000-0002-0481-4998,http://orcid.org/0000-0002-0481-4998,57205468314,http://www.scopus.com/authid/detail.uri?authorId=57205468314,F-9015-2019,http://www.researcherid.com/rid/F-9015-2019
Павлов,Антон,Павлович,ассистент,Факультет информационных технологий и компьютерных систем,,8671-1903,http://elibrary.ru/author_profile.asp?spin=8671-1903,0,0,0,0,0,0
Панков,Денис,Анатольевич,старший преподаватель,Факультет информационных технологий и компьютерных систем,,0,0,0,0,0,0,0,0
Сак,Павел,Викторович,старший преподаватель,Факультет информационных технологий и компьютерных систем,,0,0,0,0,0,0,0,0
Степанов,Петр,Петрович,старший преподаватель,Факультет информационных технологий и компьютерных систем,,6743-0356,http://elibrary.ru/author_profile.asp?spin=6743-0356,0000-0002-5481-3256,http://orcid.org/0000-0002-5481-3256,0,0,T-7674-2017,http://www.researcherid.com/rid/T-7674-2017
Шлома,Дмитрий,Николаевич,старший преподаватель,Факультет информационных технологий и компьютерных систем,,0,0,0,0,0,0,0,0
ЩАПОВА,Лия,Владимировна,ассистент,Факультет информационных технологий и компьютерных систем,,0,0,0,0,0,0,0,0
Шадрин,Максим,Александрович,доцент,Художественно-технологический факультет,"Кафедра ""Биотехнология, технология общественного питания и товароведение""",7655-3086,http://elibrary.ru/author_profile.asp?spin=7655-3086,0000-0003-3786-4948,http://orcid.org/0000-0003-3786-4948,0,0,0,0
Антонина,Людмила,Владимировна,доцент,Художественно-технологический факультет,"Кафедра ""Биотехнология, технология общественного питания и товароведение""",7959-3403,http://elibrary.ru/author_profile.asp?spin=7959-3403,0,0,0,0,0,0
Богдашин,Игорь,Викторович,доцент,Художественно-технологический факультет,"Кафедра ""Биотехнология, технология общественного питания и товароведение""",0,0,0,0,0,0,0,0
Бураковская,Нина,Владимировна,доцент,Художественно-технологический факультет,"Кафедра ""Биотехнология, технология общественного питания и товароведение""",9740-7865,http://elibrary.ru/author_profile.asp?spin=9740-7865,0000-0002-9419-6731,http://orcid.org/0000-0002-9419-6731,0,0,0,0
Долгова,Елена,Юрьевна,доцент,Художественно-технологический факультет,"Кафедра ""Биотехнология, технология общественного питания и товароведение""",0,0,0,0,0,0,0,0
Евдокимов,Никита,Сергеевич,доцент,Художественно-технологический факультет,"Кафедра ""Биотехнология, технология общественного питания и товароведение""",9946-3373,http://elibrary.ru/author_profile.asp?spin=9946-3373,0000-0001-5099-1760,http://orcid.org/0000-0001-5099-1760,57211227388,http://www.scopus.com/authid/detail.uri?authorId=57211227388,0,0
Есипова,Мария,Сергеевна,старший преподаватель,Художественно-технологический факультет,"Кафедра ""Биотехнология, технология общественного питания и товароведение""",4146-7270,http://elibrary.ru/author_profile.asp?spin=4146-7270,0000-0003-2969-9428,http://orcid.org/0000-0003-2969-9428,0,0,0,0
ЖУКОВА,Виктория,Валериевна,старший лаборант,Художественно-технологический факультет,"Кафедра ""Биотехнология, технология общественного питания и товароведение""",0,0,0,0,0,0,0,0
Завгородняя,Любовь,Михайловна,старший преподаватель,Художественно-технологический факультет,"Кафедра ""Биотехнология, технология общественного питания и товароведение""",5976-4993,http://elibrary.ru/author_profile.asp?spin=5976-4993,0000-0002-3674-0794,http://orcid.org/0000-0002-3674-0794,0,0,0,0
Иванцова,Тамара,Михайловна,доцент,Художественно-технологический факультет,"Кафедра ""Биотехнология, технология общественного питания и товароведение""",9041-9193,http://elibrary.ru/author_profile.asp?spin=9041-9193,0,0,6508082421,http://www.scopus.com/authid/detail.uri?authorId=6508082421,0,0
Леонтьева,Ирина,Геннадьевна,старший преподаватель,Художественно-технологический факультет,"Кафедра ""Биотехнология, технология общественного питания и товароведение""",5463-7122,http://elibrary.ru/author_profile.asp?spin=5463-7122,0,0,0,0,0,0
Носова,Валентина,Ивановна,старший лаборант,Художественно-технологический факультет,"Кафедра ""Биотехнология, технология общественного питания и товароведение""",0,0,0,0,0,0,0,0
Павлова,Наталья,Николаевна,старший лаборант,Художественно-технологический факультет,"Кафедра ""Биотехнология, технология общественного питания и товароведение""",0,0,0,0,0,0,0,0
Плесовских,Дмитрий,Михайлович,доцент,Художественно-технологический факультет,"Кафедра ""Биотехнология, технология общественного питания и товароведение""",0,0,0,0,0,0,0,0
Силантьева,Анастасия,Александровна,старший преподаватель,Художественно-технологический факультет,"Кафедра ""Биотехнология, технология общественного питания и товароведение""",0,0,0,0,0,0,0,0
ЧАЧИНА,Елизавета,Павловна,старший лаборант,Художественно-технологический факультет,"Кафедра ""Биотехнология, технология общественного питания и товароведение""",0,0,0,0,0,0,0,0
Чачина,Светлана,Борисовна,доцент,Художественно-технологический факультет,"Кафедра ""Биотехнология, технология общественного питания и товароведение""",9530-2880,http://elibrary.ru/author_profile.asp?spin=9530-2880,0,0,57190976453,http://www.scopus.com/authid/detail.uri?authorId=57190976453,P-4966-2016,http://www.researcherid.com/rid/P-4966-2016
Чеснокова,Марина,Геннадьевна,профессор,Художественно-технологический факультет,"Кафедра ""Биотехнология, технология общественного питания и товароведение""",2460-7378,http://elibrary.ru/author_profile.asp?spin=2460-7378,0000-0001-9055-977X,http://orcid.org/0000-0001-9055-977X,6602666612,http://www.scopus.com/authid/detail.uri?authorId=6602666612,M-8171-2016,http://www.researcherid.com/rid/M-8171-2016
Мышлявцева,Марта,Доржукаевна,профессор,"Факультет транспорта, нефти и газа","Кафедра ""Высшая математика""",4952-9267,http://elibrary.ru/author_profile.asp?spin=4952-9267,0000-0002-5935-6226,http://orcid.org/0000-0002-5935-6226,7801550173,http://www.scopus.com/authid/detail.uri?authorId=7801550173,H-5361-2013,http://www.researcherid.com/rid/H-5361-2013
Анисимова,Галина,Дмитриевна,старший преподаватель,"Факультет транспорта, нефти и газа","Кафедра ""Высшая математика""",8939-6023,http://elibrary.ru/author_profile.asp?spin=8939-6023,0000-0002-4621-6726,http://orcid.org/0000-0002-4621-6726,57217677230,http://www.scopus.com/authid/detail.uri?authorId=57217677230,B-1360-2016,http://www.researcherid.com/rid/B-1360-2016
Бельгарт,Любовь,Васильевна,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Высшая математика""",0,0,0,0,0,0,0,0
Бова,Татьяна,Ивановна,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Высшая математика""",0,0,0,0,0,0,0,0
Галимова,Лязат,Аменевна,старший преподаватель,"Факультет транспорта, нефти и газа","Кафедра ""Высшая математика""",0,0,0,0,0,0,0,0
Дроздович,Евгения,Николаевна,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Высшая математика""",3922-9780,http://elibrary.ru/author_profile.asp?spin=3922-9780,0000-0002-8760-811X,http://orcid.org/0000-0002-8760-811X,0,0,0,0
Евсеева,Светлана,Ивановна,старший преподаватель,"Факультет транспорта, нефти и газа","Кафедра ""Высшая математика""",5177-5971,http://elibrary.ru/author_profile.asp?spin=5177-5971,0000-0003-4109-8131,http://orcid.org/0000-0003-4109-8131,0,0,D-9865-2014,http://www.researcherid.com/rid/D-9865-2014
Жукова,Ольга,Геннадьевна,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Высшая математика""",0,0,0,0,0,0,0,0
Латыпов,Ильяс,Абдульхаевич,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Высшая математика""",0,0,0,0,0,0,0,0
Магазев,Алексей,Анатольевич,профессор,"Факультет транспорта, нефти и газа","Кафедра ""Высшая математика""",2833-0366,http://elibrary.ru/author_profile.asp?spin=2833-0366,0000-0002-8725-9183,http://orcid.org/0000-0002-8725-9183,6507004666,http://www.scopus.com/authid/detail.uri?authorId=6507004666,H-9479-2013,http://www.researcherid.com/rid/H-9479-2013
Макарова,Ирина,Дмитриевна,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Высшая математика""",1502-3186,http://elibrary.ru/author_profile.asp?spin=1502-3186,0000-0003-0773-9767,http://orcid.org/0000-0003-0773-9767,0,0,E-1602-2014,http://www.researcherid.com/rid/E-1602-2014
Назарук,Елена,Маратовна,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Высшая математика""",0,0,0,0,0,0,0,0
Рогозин,Андрей,Владимирович,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Высшая математика""",0,0,0,0,0,0,0,0
Сечкина,Ирина,Викторовна,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Высшая математика""",0,0,0,0,0,0,0,0
Соколовский,Мирон,Наумович,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Высшая математика""",0,0,0,0,0,0,0,0
Степанов,Владимир,Николаевич,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Высшая математика""",7846-3720,http://elibrary.ru/author_profile.asp?spin=7846-3720,0000-0002-8616-4414,http://orcid.org/0000-0002-8616-4414,7402659928,http://www.scopus.com/authid/detail.uri?authorId=7402659928,R-1225-2017,http://www.researcherid.com/rid/R-1225-2017
Стратилатова,Елена,Николаевна,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Высшая математика""",0,0,0,0,0,0,0,0
Троценко,Галина,Алексеевна,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Высшая математика""",0,0,0,0,0,0,0,0
Пучкова,Надежда,Ивановна,заведующий методическим кабинетом,"Факультет транспорта, нефти и газа","Кафедра ""Высшая математика""",0,0,0,0,0,0,0,0
Вильде,Андрей,Рудольфович,заведующий лабораторией,"Факультет транспорта, нефти и газа","Кафедра ""Высшая математика""",0,0,0,0,0,0,0,0
Щерба,Виктор,Евгеньевич,заведующий кафедрой,"Факультет транспорта, нефти и газа","Кафедра ""Гидромеханика и транспортные машины""",6637-4059,http://elibrary.ru/author_profile.asp?spin=6637-4059,0000-0002-5262-008X,http://orcid.org/0000-0002-5262-008X,7006190048,http://www.scopus.com/authid/detail.uri?authorId=7006190048,D-5093-2014,http://www.researcherid.com/rid/D-5093-2014
Болштянский,Александр,Павлович,профессор,"Факультет транспорта, нефти и газа","Кафедра ""Гидромеханика и транспортные машины""",0,0,0,0,0,0,0,0
Волгина,Наталья,Владимировна,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Гидромеханика и транспортные машины""",0,0,0,0,0,0,0,0
Григорьев,Александр,Валерьевич,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Гидромеханика и транспортные машины""",0,0,0,0,0,0,0,0
Залознов,Иван,Павлович,доцент,"Факультет транспорта, нефти и газа","Кафедра ""Гидромеханика и транспортные машины""",6963-9947,http://elibrary.ru/author_profile.asp?spin=6963-9947,0000-0001-7056-8513,http://orcid.org/0000-0001-7056-8513,57209975688,http://www.scopus.com/authid/detail.uri?authorId=57209975688,E-7061-2014,http://www.researcherid.com/rid/E-7061-2014
Крюков,Константин,Сергеевич,начальник цикла - старший преподаватель,"Факультет транспорта, нефти и газа","Кафедра ""Гидромеханика и транспортные машины""",0,0,0,0,0,0,0,0
